Date,Investment_AAPL,Investment_GOOGL,Investment_MSFT,Investment_META,Investment_AMZN,CASH
2024-03-22,172.28,150.77,428.74,509.58,178.87,1.0
2024-03-25,170.85,150.07,422.86,503.02,179.71,1.0
2024-03-26,169.71,150.67,421.65,495.89,178.3,1.0
2024-03-27,173.31,150.87,421.43,493.86,179.83,1.0
2024-03-28,171.48,150.93,420.72,485.58,180.38,1.0
2024-04-01,170.03,155.49,424.57,491.35,180.97,1.0
2024-04-02,168.84,154.56,421.44,497.37,180.69,1.0
2024-04-03,169.65,154.92,420.45,506.74,182.41,1.0
2024-04-04,168.82,150.53,417.88,510.92,180.0,1.0
2024-04-05,169.58,152.5,425.52,527.34,185.07,1.0
2024-04-08,168.45,154.85,424.59,519.25,185.19,1.0
2024-04-09,169.67,156.6,426.28,516.9,185.67,1.0
2024-04-10,167.78,156.14,423.26,519.83,185.95,1.0
2024-04-11,175.04,159.41,427.93,523.16,189.05,1.0
2024-04-12,176.55,157.73,421.9,511.9,186.13,1.0
2024-04-15,172.69,154.86,413.64,500.23,183.62,1.0
2024-04-16,169.38,154.4,414.58,499.76,183.32,1.0
2024-04-17,168.0,155.47,411.84,494.17,181.28,1.0
2024-04-18,167.04,156.01,404.27,501.8,179.22,1.0
2024-04-19,165.0,154.09,399.12,481.07,174.63,1.0
2024-04-22,165.84,156.28,400.96,481.73,177.23,1.0
2024-04-23,166.9,158.26,407.57,496.1,179.54,1.0
2024-04-24,169.02,159.13,409.06,493.5,176.59,1.0
2024-04-25,169.89,156.0,399.04,441.38,173.67,1.0
2024-04-26,169.3,171.95,406.32,443.29,179.62,1.0
2024-04-29,173.5,166.15,402.25,432.62,180.96,1.0
2024-04-30,170.33,162.78,389.33,430.17,175.0,1.0
2024-05-01,169.3,163.86,394.94,439.19,179.0,1.0
2024-05-02,173.03,166.62,397.84,441.68,184.72,1.0
2024-05-03,183.38,167.24,406.66,451.96,186.21,1.0
2024-05-06,181.71,168.1,413.54,465.68,188.7,1.0
2024-05-07,182.4,171.25,409.34,468.24,188.76,1.0
2024-05-08,182.74,169.38,410.54,472.6,188.0,1.0
2024-05-09,184.57,169.96,412.32,475.42,189.5,1.0
2024-05-10,183.05,168.65,414.74,476.2,187.48,1.0
2024-05-13,186.28,169.14,413.72,468.01,186.57,1.0
2024-05-14,187.43,170.34,416.56,471.85,187.07,1.0
2024-05-15,189.72,172.51,423.08,481.54,185.99,1.0
2024-05-16,189.84,174.18,420.99,473.23,183.63,1.0
2024-05-17,189.87,176.06,420.21,471.91,184.7,1.0
2024-05-20,191.04,176.92,425.34,468.84,183.54,1.0
2024-05-21,192.35,177.85,429.04,464.63,183.15,1.0
2024-05-22,190.9,176.38,430.52,467.78,183.13,1.0
2024-05-23,186.88,173.55,427.0,465.78,181.05,1.0
2024-05-24,189.98,174.99,430.16,478.22,180.75,1.0
2024-05-28,189.99,176.4,430.32,479.92,182.15,1.0
2024-05-29,190.29,175.9,429.17,474.36,182.02,1.0
2024-05-30,191.29,172.11,414.67,467.05,179.32,1.0
2024-05-31,192.25,172.5,415.13,466.83,176.44,1.0
2024-06-03,194.03,173.17,413.52,477.49,178.34,1.0
2024-06-04,194.35,173.79,416.07,476.99,179.34,1.0
2024-06-05,195.87,175.41,424.01,495.06,181.28,1.0
2024-06-06,194.48,176.73,424.52,493.76,185.0,1.0
2024-06-07,196.89,174.46,423.85,492.96,184.3,1.0
2024-06-10,193.12,175.01,427.87,502.6,187.06,1.0
2024-06-11,207.15,176.62,432.68,507.47,187.23,1.0
2024-06-12,213.07,177.79,441.06,508.84,186.89,1.0
2024-06-13,214.24,175.16,441.58,504.1,183.83,1.0
2024-06-14,212.49,176.79,442.57,504.16,183.66,1.0
2024-06-17,216.67,177.24,448.37,506.63,184.06,1.0
2024-06-18,214.29,175.09,446.34,499.49,182.81,1.0
2024-06-20,209.68,176.3,445.7,501.7,186.1,1.0
2024-06-21,207.49,179.63,449.78,494.78,189.08,1.0
2024-06-24,208.14,179.22,447.67,498.91,185.57,1.0
2024-06-25,209.07,184.03,450.95,510.6,186.34,1.0
2024-06-26,213.25,183.88,452.16,513.12,193.61,1.0
2024-06-27,214.1,185.41,452.85,519.56,197.85,1.0
2024-06-28,210.62,182.15,446.95,504.22,193.25,1.0
2024-07-01,216.75,182.99,456.73,504.68,197.2,1.0
2024-07-02,220.27,185.24,459.28,509.5,200.0,1.0
2024-07-03,221.55,185.82,460.77,509.96,197.59,1.0
2024-07-05,226.34,190.6,467.56,539.91,200.0,1.0
2024-07-08,227.82,189.03,466.24,529.32,199.29,1.0
2024-07-09,228.68,188.98,459.54,530.0,199.34,1.0
2024-07-10,232.98,191.18,466.25,534.69,199.79,1.0
2024-07-11,227.57,185.57,454.7,512.7,195.05,1.0
2024-07-12,230.54,185.07,453.55,498.87,194.49,1.0
2024-07-15,234.4,186.53,453.96,496.16,192.72,1.0
2024-07-16,234.82,183.92,449.52,489.79,193.02,1.0
2024-07-17,228.88,181.02,443.52,461.99,187.93,1.0
2024-07-18,224.18,177.69,440.37,475.85,183.75,1.0
2024-07-19,224.31,177.66,437.11,476.79,183.13,1.0
2024-07-22,223.96,181.67,442.94,487.4,182.55,1.0
2024-07-23,225.01,181.79,444.85,488.69,186.41,1.0
2024-07-24,218.54,172.63,428.9,461.27,180.83,1.0
2024-07-25,217.49,167.28,418.4,453.41,179.85,1.0
2024-07-26,217.96,167.0,425.27,465.7,182.5,1.0
2024-07-29,218.24,169.53,426.73,465.71,183.2,1.0
2024-07-30,218.8,170.29,422.92,463.19,181.71,1.0
2024-07-31,222.08,171.54,418.35,474.83,186.98,1.0
2024-08-01,218.36,170.76,417.11,497.74,184.07,1.0
2024-08-02,219.86,166.66,408.49,488.14,167.9,1.0
2024-08-05,209.27,159.25,395.15,475.73,161.02,1.0
2024-08-06,207.23,158.29,399.61,494.09,161.93,1.0
2024-08-07,209.82,158.94,398.43,488.92,162.77,1.0
2024-08-08,213.31,162.03,402.69,509.63,165.8,1.0
2024-08-09,216.24,163.67,406.02,517.77,166.94,1.0
2024-08-12,217.53,162.29,406.81,515.95,166.8,1.0
2024-08-13,221.27,164.16,414.01,528.54,170.23,1.0
2024-08-14,221.72,160.37,416.86,526.76,170.1,1.0
2024-08-15,224.72,161.3,421.03,537.33,177.59,1.0
2024-08-16,226.05,162.96,418.47,527.42,177.06,1.0
2024-08-19,225.89,166.67,421.53,529.28,178.22,1.0
2024-08-20,226.51,167.18,424.8,526.73,178.88,1.0
2024-08-21,226.4,165.85,424.14,535.16,180.11,1.0
2024-08-22,224.53,163.8,415.55,531.93,176.13,1.0
2024-08-23,226.84,165.62,416.79,528.0,177.04,1.0
2024-08-26,227.18,166.16,413.49,521.12,175.5,1.0
2024-08-27,228.03,164.68,413.84,519.1,173.12,1.0
2024-08-28,226.49,162.85,410.6,516.78,170.8,1.0
2024-08-29,229.79,161.78,413.12,518.22,172.12,1.0
2024-08-30,229.0,163.38,417.14,521.31,178.5,1.0
2024-09-03,222.77,157.36,409.44,511.76,176.25,1.0
2024-09-04,220.85,156.45,408.9,512.74,173.33,1.0
2024-09-05,222.38,157.24,408.39,516.86,177.89,1.0
2024-09-06,220.82,150.92,401.7,500.27,171.39,1.0
2024-09-09,220.91,148.71,405.72,504.79,175.4,1.0
2024-09-10,220.11,148.66,414.2,504.79,179.55,1.0
2024-09-11,222.66,151.16,423.04,511.83,184.52,1.0
2024-09-12,222.77,154.69,427.0,525.6,187.0,1.0
2024-09-13,222.5,157.46,430.59,524.62,186.49,1.0
2024-09-16,216.32,158.06,431.34,533.28,184.89,1.0
2024-09-17,216.79,159.32,435.15,536.315,186.88,1.0
2024-09-18,220.69,159.81,430.81,537.95,186.43,1.0
2024-09-19,228.87,162.14,438.69,559.1,189.87,1.0
2024-09-20,228.2,163.59,435.27,561.35,191.6,1.0
2024-09-23,226.47,161.85,433.51,564.41,193.88,1.0
2024-09-24,227.37,162.29,429.17,563.33,193.96,1.0
2024-09-25,226.37,161.49,432.11,568.31,192.53,1.0
2024-09-26,227.52,162.73,431.31,567.84,191.16,1.0
2024-09-27,227.79,163.95,428.02,567.36,187.97,1.0
2024-09-30,233.0,165.85,430.3,572.44,186.33,1.0
2024-10-01,226.21,166.99,420.69,576.47,185.13,1.0
2024-10-02,226.78,165.86,417.13,572.81,184.76,1.0
2024-10-03,225.67,165.86,416.54,582.77,181.96,1.0
2024-10-04,226.8,167.06,416.06,595.94,186.51,1.0
2024-10-07,221.69,162.98,409.54,584.78,180.8,1.0
2024-10-08,225.77,164.38,414.71,592.89,182.72,1.0
2024-10-09,229.54,161.86,417.46,590.51,185.17,1.0
2024-10-10,229.04,162.08,415.84,583.83,186.65,1.0
2024-10-11,227.55,163.24,416.32,589.95,188.82,1.0
2024-10-14,231.3,164.96,419.14,590.42,187.54,1.0
2024-10-15,233.85,165.46,418.74,586.27,187.69,1.0
2024-10-16,231.78,165.16,416.12,576.79,186.89,1.0
2024-10-17,232.15,162.93,416.72,576.93,187.53,1.0
2024-10-18,235.0,163.42,418.16,576.47,188.99,1.0
2024-10-21,236.48,164.07,418.78,575.16,189.07,1.0
2024-10-22,235.86,165.14,427.51,582.01,189.7,1.0
2024-10-23,230.76,162.78,424.6,563.69,184.71,1.0
2024-10-24,230.57,162.72,424.73,567.78,186.38,1.0
2024-10-25,231.41,165.27,428.15,573.25,187.83,1.0
2024-10-28,233.4,166.72,426.59,578.16,188.39,1.0
2024-10-29,233.67,169.68,431.95,593.28,190.83,1.0
2024-10-30,230.1,174.46,432.53,591.8,192.73,1.0
2024-10-31,225.91,171.11,406.35,567.58,186.4,1.0
2024-11-01,222.91,171.29,410.37,567.16,197.93,1.0
2024-11-04,222.01,169.24,408.46,560.68,195.78,1.0
2024-11-05,223.45,169.74,411.46,572.43,199.5,1.0
2024-11-06,222.72,176.51,420.18,572.05,207.09,1.0
2024-11-07,227.48,180.75,425.43,591.7,210.05,1.0
2024-11-08,226.96,178.35,422.54,589.34,208.18,1.0
2024-11-11,224.23,180.35,418.01,583.17,206.84,1.0
2024-11-12,224.23,181.62,423.03,584.82,208.91,1.0
2024-11-13,225.12,178.88,425.2,580.0,214.1,1.0
2024-11-14,228.22,175.58,426.89,577.16,211.48,1.0
2024-11-15,225.0,172.49,415.0,554.08,202.61,1.0
2024-11-18,228.02,175.3,415.76,554.4,201.7,1.0
2024-11-19,228.28,178.12,417.79,561.09,204.61,1.0
2024-11-20,229.0,175.98,415.49,565.52,202.88,1.0
2024-11-21,228.52,167.63,412.87,563.09,198.38,1.0
2024-11-22,229.87,164.76,417.0,559.14,197.12,1.0
2024-11-25,232.87,167.65,418.79,565.11,201.45,1.0
2024-11-26,235.06,169.12,427.99,573.54,207.86,1.0
2024-11-27,234.93,169.23,422.99,569.2,205.74,1.0
2024-11-29,237.33,168.95,423.46,574.32,207.89,1.0
2024-12-02,239.59,171.49,430.98,592.83,210.71,1.0
2024-12-03,242.65,171.34,431.2,613.65,213.44,1.0
2024-12-04,243.01,174.37,437.42,613.78,218.16,1.0
2024-12-05,243.04,172.64,442.62,608.93,220.55,1.0
2024-12-06,242.84,174.71,443.57,623.77,227.03,1.0
2024-12-09,246.75,175.37,446.02,613.57,226.09,1.0
2024-12-10,247.77,185.17,443.33,619.32,225.04,1.0
2024-12-11,246.49,195.4,448.99,632.68,230.26,1.0
2024-12-12,247.96,191.96,449.56,630.79,228.97,1.0
2024-12-13,248.13,189.82,447.27,620.35,227.46,1.0
2024-12-16,251.04,196.66,451.59,624.24,232.93,1.0
2024-12-17,253.48,195.42,454.46,619.44,231.15,1.0
2024-12-18,248.05,188.4,437.39,597.19,220.52,1.0
2024-12-19,249.79,188.51,437.03,595.57,223.29,1.0
2024-12-20,254.49,191.41,436.6,585.25,224.92,1.0
2024-12-23,255.27,194.63,435.25,599.85,225.06,1.0
2024-12-24,258.2,196.11,439.33,607.75,229.05,1.0
2024-12-26,259.02,195.6,438.11,603.35,227.05,1.0
2024-12-27,255.59,192.76,430.53,599.81,223.75,1.0
2024-12-30,252.2,191.24,424.83,591.24,221.3,1.0
2024-12-31,250.42,189.3,421.5,585.51,219.39,1.0
2025-01-02,243.85,189.43,418.58,599.24,220.22,1.0
2025-01-03,243.36,191.79,423.35,604.63,224.19,1.0
2025-01-06,245.0,196.87,427.85,630.2,227.61,1.0
2025-01-07,242.21,195.49,422.37,617.89,222.11,1.0
2025-01-08,242.7,193.95,424.56,610.72,222.13,1.0
2025-01-10,236.85,192.04,418.95,615.86,218.94,1.0
2025-01-13,234.4,191.01,417.19,608.33,218.46,1.0
2025-01-14,233.28,189.66,415.67,594.25,217.76,1.0
2025-01-15,237.87,195.55,426.31,617.12,223.35,1.0
2025-01-16,228.26,192.91,424.58,611.3,220.66,1.0
2025-01-17,229.98,196.0,429.03,612.77,225.94,1.0
2025-01-21,222.64,198.05,428.5,616.46,230.71,1.0
2025-01-22,223.83,198.37,446.2,623.5,235.01,1.0
2025-01-23,223.66,197.98,446.71,636.45,235.42,1.0
2025-01-24,222.78,200.21,444.06,647.49,234.85,1.0
2025-01-27,229.86,191.81,434.56,659.88,235.42,1.0
2025-01-28,238.26,195.3,447.2,674.33,238.15,1.0
2025-01-29,239.36,195.41,442.33,676.49,237.07,1.0
2025-01-30,237.59,200.87,414.99,687.0,234.64,1.0
2025-01-31,236.0,204.02,415.06,689.18,237.68,1.0
2025-02-03,228.01,201.23,410.92,697.46,237.42,1.0
2025-02-04,232.8,206.38,412.37,704.19,242.06,1.0
2025-02-05,232.47,191.33,413.29,704.87,236.17,1.0
2025-02-06,233.22,191.6,415.82,711.99,238.83,1.0
2025-02-07,227.63,185.34,409.75,714.52,229.15,1.0
2025-02-10,227.65,186.47,412.22,717.4,233.14,1.0
